uvkey,aqi
"(2198011907, 32010804, 0)",1.75
"(2198011907, 2198011952, 0)",1.73
"(2198011907, 2198011889, 0)",1.74
"(2198011907, 266071613, 0)",1.73
"(1007190025, 313896452, 0)",1.75
"(1007190025, 313896455, 0)",1.75
"(1007190025, 554099610, 0)",1.75
"(1007190026, 621184393, 0)",1.73
"(1007190026, 383937913, 0)",1.73
"(1007190026, 267339182, 0)",1.73
"(1007190032, 383937913, 0)",1.73
"(1007190032, 6049124143, 0)",1.73
"(1007190032, 6049124146, 0)",1.73
"(664436752, 297284544, 0)",1.69
"(664436752, 3361686373, 0)",1.69
"(664436752, 664437980, 0)",1.69
"(34177042, 462027522, 0)",1.69
"(34177042, 34176925, 0)",1.7
"(34177042, 470921611, 0)",1.69
"(34177042, 34176924, 0)",1.7
"(1166376980, 346567417, 0)",1.77
"(1166376980, 352909955, 0)",1.64
"(1166376980, 1166376997, 0)",1.88
"(34177044, 462027517, 0)",1.69
"(34177044, 364643641, 0)",1.69
"(34177044, 470921611, 0)",1.69
"(34177045, 462516665, 0)",1.68
"(34177045, 34177631, 0)",1.68
"(34177045, 364643641, 0)",1.69
"(664436756, 939084324, 0)",1.69
"(664436756, 2434430323, 0)",1.68
"(664436756, 297284544, 0)",1.69
"(34177054, 34176339, 0)",1.67
"(34177054, 290598447, 0)",1.69
"(34177054, 34177377, 0)",1.67
"(34177054, 364644610, 0)",1.67
"(1166376997, 1166376980, 0)",1.88
"(1166376997, 357906141, 0)",1.8
"(1166376997, 333400325, 0)",1.92
"(2198011952, 2198011907, 0)",1.73
"(2198011952, 176146387, 0)",1.77
"(2198011952, 207380718, 0)",1.73
"(2198011952, 196484406, 0)",1.73
"(1725890612, 60707553, 0)",1.66
"(1725890612, 365308170, 0)",1.66
"(1725890612, 364899324, 0)",1.66
"(1725890632, 365303537, 0)",1.66
"(1725890632, 365303538, 0)",1.67
"(1725890632, 364899060, 0)",1.67
"(345800781, 364526400, 0)",1.65
"(345800781, 729610333, 0)",1.65
"(345800781, 34658615, 0)",1.65
"(3597205587, 2562704086, 0)",1.67
"(3597205587, 2562704081, 0)",1.67
"(3597205587, 3597206001, 0)",1.67
"(1034354776, 87739861, 0)",1.68
"(1034354776, 1034354817, 0)",1.68
"(1034354776, 317892389, 0)",1.68
"(1034354776, 317891883, 0)",1.68
"(316342370, 585331217, 0)",1.8
"(316342370, 265585129, 0)",1.8
"(316342370, 745737410, 0)",1.8
"(316342372, 585331217, 0)",1.65
"(2315649149, 581932606, 0)",1.69
"(2315649149, 444699527, 0)",1.68
"(2315649149, 566174822, 0)",1.69
"(1034354817, 1034354776, 0)",1.68
"(1034354817, 365245014, 0)",1.67
"(1034354817, 534118988, 0)",1.68
"(673480838, 5521289300, 0)",1.65
"(673480838, 36476227, 0)",1.66
"(673480838, 673480842, 0)",1.66
"(158597257, 34159194, 0)",1.62
"(158597257, 1621308626, 0)",1.62
"(158597257, 1621340402, 0)",1.64
"(673480842, 673480838, 0)",1.66
"(673480842, 5521289300, 0)",1.66
"(673480842, 1308303627, 0)",1.67
"(35651735, 392964395, 0)",1.8
"(35651735, 321297791, 0)",1.8
"(35651735, 585353526, 0)",1.8
"(642023578, 469879257, 0)",1.7
"(642023578, 469879258, 0)",1.68
"(642023578, 469879288, 0)",1.7
"(35651741, 745737410, 0)",1.8
"(35651741, 585331218, 0)",1.8
"(35651741, 265585129, 0)",1.8
