uvkey,aqi
"(35651762, 585331249, 0)",1.78
"(35651762, 4138518606, 0)",1.8
"(35651762, 3195397361, 0)",1.78
"(35651762, 3195397368, 0)",1.78
"(35651764, 702408112, 0)",1.8
"(35651764, 4138518606, 0)",1.8
"(35651764, 585331253, 0)",1.8
"(35651765, 725873393, 0)",1.8
"(35651765, 3195391976, 0)",1.79
"(35651765, 601733883, 0)",1.8
"(35651765, 1787937915, 0)",1.8
"(1011876022, 488362044, 0)",1.69
"(1011876022, 299525430, 0)",1.69
"(1011876022, 266071362, 0)",1.69
"(158597306, 310619585, 0)",1.66
"(158597306, 383067732, 0)",1.66
"(158597306, 310619578, 0)",1.66
"(158597306, 446004526, 0)",1.66
"(6130303162, 34157508, 0)",1.64
"(6130303162, 34157505, 0)",1.63
"(6130303162, 6130303164, 0)",1.64
"(332202172, 33981620, 0)",1.64
"(332202172, 317380235, 0)",1.64
"(332202172, 317380233, 0)",1.64
"(6130303164, 6130303162, 0)",1.64
"(6130303164, 6051672070, 0)",1.66
"(6130303164, 6130305392, 0)",1.64
"(35651770, 585351061, 0)",1.8
"(35651770, 585353530, 0)",1.8
"(35651770, 585331213, 0)",1.8
"(35651770, 585353526, 0)",1.8
"(741277888, 468453568, 0)",1.69
"(741277888, 741184110, 0)",1.6
"(741277888, 468453570, 0)",1.69
"(741277888, 34157110, 0)",1.68
"(332202177, 33981620, 0)",1.65
"(332202177, 441523224, 0)",1.65
"(332202177, 340159807, 0)",1.64
"(332202181, 441267722, 0)",1.63
"(332202181, 441267718, 0)",1.63
"(332202181, 34659050, 0)",1.64
"(332202181, 335364490, 0)",1.64
"(2623296214, 2623296212, 0)",1.71
"(6130303178, 6130305393, 0)",1.64
"(6130303178, 6130305392, 0)",1.64
"(6130303178, 6130303180, 0)",1.63
"(6130303178, 6130305391, 0)",1.62
"(6130303180, 6130303178, 0)",1.63
"(6130303180, 34157505, 0)",1.62
"(6130303180, 6130305391, 0)",1.62
"(417300698, 417300699, 0)",1.69
"(417300698, 34774892, 0)",1.7
"(417300698, 417049149, 0)",1.7
"(417300699, 417300698, 0)",1.69
"(417300699, 417049150, 0)",1.7
"(417300699, 420498293, 0)",1.7
"(417300699, 417299270, 0)",1.69
"(35651804, 3385642702, 0)",1.8
"(35651804, 265585986, 0)",1.8
"(35651804, 35651803, 0)",1.8
"(35651803, 35651804, 0)",1.8
"(35651803, 691470593, 0)",1.79
"(35651803, 5996038961, 0)",1.79
"(35651803, 337347191, 0)",1.8
"(2742616294, 2739254396, 0)",1.63
"(2742616294, 1875975708, 0)",1.61
"(2742616294, 742692114, 0)",1.61
"(1795358960, 583449673, 0)",1.69
"(1795358960, 3437983247, 0)",1.68
"(1795358960, 36428198, 0)",1.69
"(2742616306, 1376735536, 0)",1.63
"(2742616306, 34094261, 0)",1.63
"(2742616306, 468422998, 0)",1.64
"(2742616309, 34159268, 0)",1.62
"(2742616309, 34159267, 0)",1.62
"(2742616309, 2496453848, 0)",1.62
"(1305608448, 664447689, 0)",1.71
"(1305608448, 772597129, 0)",1.7
"(1305608448, 34178006, 0)",1.6
"(691470593, 35651803, 0)",1.79
"(691470593, 701814944, 0)",1.78
"(691470593, 691470609, 0)",1.8
"(265584899, 290594383, 0)",1.83
"(265584899, 265583173, 0)",1.8
"(265584899, 392964192, 0)",1.79
"(1011876109, 1937261456, 0)",1.77
"(1011876109, 265425084, 0)",1.8
"(1011876109, 366204965, 0)",1.77
"(691470609, 691470593, 0)",1.8
"(691470609, 367883066, 0)",1.83
"(691470609, 290594649, 0)",1.83
"(504725779, 34158558, 0)",1.62
"(504725779, 34158487, 0)",1.63
"(504725779, 5543072103, 0)",1.63
"(1011876140, 34398758, 0)",1.67
"(1011876140, 418402699, 0)",1.67
"(1011876140, 559977448, 0)",1.67
"(2892890412, 259760704, 0)",1.73
"(2892890412, 259760703, 0)",1.73
"(2892890412, 773493312, 0)",1.73
"(2892890412, 1007189784, 0)",1.73
"(2892890416, 6339299774, 0)",1.75
"(2892890416, 259760421, 0)",1.72
"(2892890416, 1007189784, 0)",1.74
"(2892890419, 259760420, 0)",1.72
"(2892890419, 34712142, 0)",1.78
"(2892890419, 6339299774, 0)",1.75
"(2892890419, 773493311, 0)",1.72
"(504725819, 34123027, 0)",1.59
"(504725819, 34158411, 0)",1.59
"(504725819, 505006917, 0)",1.59
"(504725819, 731211755, 0)",1.6
"(1011876157, 488362044, 0)",1.7
"(1011876157, 564125295, 0)",1.71
"(1011876157, 366206704, 0)",1.69
"(35651902, 745493012, 0)",1.79
"(35651902, 176207079, 0)",1.81
"(35651902, 265585986, 0)",1.8
"(504725821, 34158411, 0)",1.59
"(504725821, 435803830, 0)",1.59
"(504725821, 34158935, 0)",1.59
"(664142144, 664142145, 0)",1.7
"(664142144, 664142146, 0)",1.7
"(664142144, 664142148, 0)",1.69
"(664142144, 597745104, 0)",1.69
"(664142145, 664142144, 0)",1.7
"(664142145, 664142147, 0)",1.69
"(664142145, 34127391, 0)",1.69
"(664142146, 664142144, 0)",1.7
"(664142147, 664142145, 0)",1.69
"(664142147, 664142148, 0)",1.71
"(664142147, 34127509, 0)",1.7
"(664142148, 664142144, 0)",1.69
"(664142148, 664142147, 0)",1.71
"(664142148, 585123228, 0)",1.71
"(664142148, 664142156, 0)",1.71
"(283836741, 691515961, 0)",1.76
"(283836741, 283836742, 0)",1.76
"(283836741, 6055151952, 0)",1.74
"(283836742, 283836741, 0)",1.76
"(283836742, 283836743, 0)",1.62
"(283836742, 1324960395, 0)",1.76
"(283836742, 1324918339, 0)",1.75
"(283836743, 283836742, 0)",1.62
"(283836743, 283694158, 0)",1.62
"(283836743, 2415129076, 0)",1.72
"(664142156, 664142148, 0)",1.71
"(664142156, 34127509, 0)",1.71
"(664142156, 775501545, 0)",1.6
"(730792270, 730792273, 0)",1.62
"(730792270, 34123289, 0)",1.62
"(730792270, 478501340, 0)",1.62
"(730792271, 34122086, 0)",1.57
"(730792271, 34164025, 0)",1.57
"(730792271, 730792272, 0)",1.57
"(730792271, 478501341, 0)",1.57
"(467698000, 429742687, 0)",1.9
"(467698000, 467698001, 0)",1.9
"(467698000, 364533184, 0)",1.9
"(467698001, 467698000, 0)",1.9
"(467698001, 366828605, 0)",1.9
"(467698001, 364533187, 0)",1.9
"(730792273, 730792270, 0)",1.62
"(730792273, 730792274, 0)",1.62
"(730792273, 1535160101, 0)",1.62
"(730792275, 34164025, 0)",1.57
"(730792275, 730792274, 0)",1.62
"(730792275, 478501341, 0)",1.57
"(730792275, 478498130, 0)",1.62
"(730792272, 730792271, 0)",1.57
"(730792272, 478498193, 0)",1.59
"(730792272, 731146854, 0)",1.6
"(730792274, 730792273, 0)",1.62
"(730792274, 730792275, 0)",1.62
"(730792274, 34164024, 0)",1.62
"(730792274, 602162438, 0)",1.62
"(469631321, 469631322, 0)",1.72
"(469631321, 34093811, 0)",1.87
"(469631321, 899317138, 0)",1.73
"(469631321, 287425046, 0)",1.76
"(469631322, 469631321, 0)",1.72
"(469631322, 2435147723, 0)",1.6
"(469631322, 2435147724, 0)",1.7
"(339312990, 289732352, 0)",1.83
"(339312993, 322650294, 0)",1.71
"(339312994, 371202284, 0)",1.77
"(339312994, 371202290, 0)",1.75
"(339312994, 4575441969, 0)",1.73
"(34177378, 462516665, 0)",1.67
"(34177378, 462516656, 0)",1.67
"(34177378, 364644610, 0)",1.67
"(34177377, 34177054, 0)",1.67
"(34177377, 462516656, 0)",1.67
"(34177377, 491777810, 0)",1.67
"(442073452, 442073456, 0)",1.61
"(442073452, 663950126, 0)",1.61
"(442073452, 262954748, 0)",1.61
"(2825978221, 2824277119, 0)",1.62
"(2825978221, 536747281, 0)",1.62
"(2825978221, 2824277122, 0)",1.62
"(2825978222, 316862411, 0)",1.61
"(2825978222, 316862412, 0)",1.61
"(2825978222, 2825978225, 0)",1.61
"(442073454, 289117216, 0)",1.61
"(442073454, 442073456, 0)",1.62
"(442073454, 76468507, 0)",1.63
"(442073456, 442073452, 0)",1.61
"(442073456, 442073454, 0)",1.62
"(442073456, 161500710, 0)",1.62
"(442073456, 262954748, 0)",1.61
"(2825978225, 2825978222, 0)",1.61
"(2825978227, 2825978234, 0)",1.61
"(2825978228, 316862412, 0)",1.61
"(2825978228, 663950140, 0)",1.61
"(2825978228, 2825978234, 0)",1.61
"(2825978234, 2825978227, 0)",1.61
"(2825978234, 2825978228, 0)",1.61
"(2825978234, 2825978240, 0)",1.61
"(367034747, 567029410, 0)",1.66
"(367034747, 34728007, 0)",1.66
"(367034747, 413670240, 0)",1.65
"(2825978239, 4599573301, 0)",1.61
"(2825978240, 2825978234, 0)",1.61
"(2825978240, 388283999, 0)",1.61
"(2825978240, 2825978244, 0)",1.61
"(609452416, 6207465615, 0)",1.69
"(2825978244, 2825978240, 0)",1.61
"(2825978244, 287588368, 0)",1.61
"(2825978244, 388283999, 0)",1.61
"(1011876248, 313939807, 0)",1.73
"(1011876248, 309349614, 0)",1.71
"(1011876248, 898911705, 0)",1.6
"(1305543074, 287425099, 0)",1.93
"(35652012, 35652013, 0)",1.8
"(35652012, 745493012, 0)",1.82
"(35652012, 392270086, 0)",1.8
"(35652013, 35652012, 0)",1.8
"(35652013, 287425099, 0)",1.81
"(35652013, 3001211671, 0)",1.79
"(35652019, 678472944, 0)",1.77
"(35652019, 392270075, 0)",1.78
"(35652019, 3001211686, 0)",1.78
"(5631017399, 283449679, 0)",1.69
"(5631017399, 974624771, 0)",1.68
"(5631017399, 6030805470, 0)",1.69
"(35652026, 302362600, 0)",1.75
"(35652026, 35653468, 0)",1.76
"(35652026, 35652028, 0)",1.76
"(35652026, 392270080, 0)",1.75
"(35652028, 35652026, 0)",1.76
"(35652028, 1411936784, 0)",1.78
"(35652028, 35653021, 0)",1.78
"(33980875, 34400037, 0)",1.92
"(33980875, 1900962617, 0)",1.91
"(33980877, 2104003525, 0)",1.87
"(33980877, 1900962662, 0)",2.01
"(33980877, 1900962617, 0)",2.09
"(33980877, 34400038, 0)",1.87
"(33980878, 299519173, 0)",1.85
"(33980878, 34399375, 0)",1.83
"(33980878, 33980879, 0)",1.75
"(33980878, 2104003525, 0)",1.85
"(33980879, 33980878, 0)",1.75
"(666960338, 666961019, 0)",1.72
"(666960338, 417210841, 0)",1.71
"(666960338, 666960345, 0)",1.72
"(1305543123, 287425099, 0)",1.93
"(1305543123, 3001211666, 0)",2.18
"(1305543123, 3105253838, 0)",1.97
"(2537914836, 2537914844, 0)",1.68
"(666960342, 729681812, 0)",1.71
"(95650264, 288642462, 0)",1.6
"(95650264, 670401410, 0)",1.6
"(666960345, 666960338, 0)",1.72
"(666960345, 729681812, 0)",1.72
"(666960345, 666961020, 0)",1.72
"(666960345, 729681807, 0)",1.72
"(2537914844, 2537914836, 0)",1.68
"(2537914844, 479423693, 0)",1.66
"(2537914844, 479423699, 0)",1.67
"(745996768, 745996133, 0)",1.66
"(745996768, 536675764, 0)",1.68
"(745996768, 745996771, 0)",1.67
"(745996768, 745996774, 0)",1.76
"(745996771, 745996768, 0)",1.67
"(745996771, 745996132, 0)",1.67
"(745996771, 745996133, 0)",1.67
"(2537914852, 2537914858, 0)",1.67
"(745996774, 745996768, 0)",1.76
"(745996774, 745997836, 0)",1.9
"(745996774, 1497747202, 0)",1.74
"(265585129, 316342370, 0)",1.8
"(265585129, 35651741, 0)",1.8
"(265585129, 745522831, 0)",1.8
"(2537914858, 2537914852, 0)",1.67
"(2537914858, 479423699, 0)",1.67
"(2537914858, 581932604, 0)",1.67
"(2537914860, 466975033, 0)",1.69
"(2537914860, 2537914871, 0)",1.68
"(2537914860, 581932604, 0)",1.69
"(3597206001, 3597205587, 0)",1.67
"(3597206001, 2562704086, 0)",1.67
"(3597206001, 762021348, 0)",1.67
"(2537914867, 479803067, 0)",1.7
"(2537914867, 2537914869, 0)",1.7
"(2537914867, 466975033, 0)",1.7
"(35652084, 745706093, 0)",1.76
"(35652084, 4176140038, 0)",1.76
"(35652084, 745706128, 0)",1.76
"(2537914869, 2537914867, 0)",1.7
"(2537914871, 2537914860, 0)",1.68
"(2537914871, 581932604, 0)",1.67
"(2537914871, 703895974, 0)",1.68
"(4874863096, 265755705, 0)",1.67
"(4874863096, 265504117, 0)",1.67
"(4874863096, 76834574, 0)",1.65
"(175768057, 231146954, 0)",1.79
"(175768057, 25811053, 0)",1.67
"(175768057, 313746994, 0)",1.87
"(2537914881, 581932606, 0)",1.69
"(2537914881, 466975059, 0)",1.69
"(2537914881, 479803069, 0)",1.69
"(2537914883, 581932606, 0)",1.69
"(2537914883, 566226590, 0)",1.68
"(2537914883, 566226594, 0)",1.69
"(2537914883, 566226586, 0)",1.68
"(364806663, 365223887, 0)",1.66
"(364806663, 60706270, 0)",1.66
"(364806663, 365224699, 0)",1.65
"(2537914888, 566174822, 0)",1.68
"(2537914888, 462743782, 0)",1.69
"(2537914888, 444699527, 0)",1.68
"(364806667, 364809340, 0)",1.65
"(364806667, 60706271, 0)",1.66
"(364806667, 364809350, 0)",1.66
"(364806667, 364809694, 0)",1.64
"(364806674, 364809694, 0)",1.66
"(364806674, 364806677, 0)",1.64
"(364806674, 729628453, 0)",1.65
"(364806677, 364806674, 0)",1.64
"(364806677, 365226519, 0)",1.66
"(364806677, 321301466, 0)",1.66
"(2537914903, 479803064, 0)",1.67
"(2537914903, 479803061, 0)",1.67
"(2537914903, 2537914942, 0)",1.67
"(582877723, 279218483, 0)",1.66
"(3597206056, 2564200126, 0)",1.67
"(3597206056, 1789865305, 0)",1.67
"(3597206056, 3597206057, 0)",1.67
"(3597206057, 3597206056, 0)",1.67
"(3597206057, 559982851, 0)",1.67
"(3597206057, 559982850, 0)",1.67
"(3597206057, 3597206062, 0)",1.67
"(2537914922, 613062361, 0)",1.66
"(2537914922, 2829491816, 0)",1.66
"(2537914922, 2537914953, 0)",1.62
"(2537914923, 2537914931, 0)",1.65
"(2537914924, 613062361, 0)",1.66
"(2537914924, 2537914927, 0)",1.67
"(2537914924, 479803062, 0)",1.67
"(612827692, 283694160, 0)",1.64
"(612827692, 286379686, 0)",1.64
"(612827692, 612827705, 0)",1.76
"(3597206062, 3597206057, 0)",1.67
"(2537914927, 2537914924, 0)",1.67
"(2537914927, 466975026, 0)",1.67
"(2537914927, 613062362, 0)",1.67
"(2537914927, 2537914933, 0)",1.67
"(2537914928, 2537914930, 0)",1.67
"(2537914930, 2537914928, 0)",1.67
"(2537914930, 482114162, 0)",1.67
"(2537914930, 2537914939, 0)",1.67
"(2537914931, 2537914923, 0)",1.65
"(2537914931, 2537914942, 0)",1.65
"(2537914931, 2537914936, 0)",1.65
"(2537914933, 2537914927, 0)",1.67
"(2537914933, 479803061, 0)",1.67
"(2537914933, 2537914937, 0)",1.67
"(2537914936, 2537914931, 0)",1.65
"(2537914936, 2537914947, 0)",1.65
"(2537914936, 2742150158, 0)",1.61
"(2537914937, 2537914933, 0)",1.67
"(2537914937, 480769438, 0)",1.68
"(2537914937, 2537914944, 0)",1.67
"(612827705, 612827692, 0)",1.76
"(612827705, 1324918424, 0)",1.75
"(612827705, 612827727, 0)",1.76
"(612827705, 2479100228, 0)",1.74
"(2537914939, 2537914930, 0)",1.67
"(2537914939, 2537914946, 0)",1.67
"(2537914939, 479803061, 0)",1.67
"(2537914942, 2537914903, 0)",1.67
"(2537914942, 2537914931, 0)",1.65
"(2537914942, 2537914947, 0)",1.65
"(2537914944, 2537914937, 0)",1.67
"(2537914944, 466975020, 0)",1.68
"(2537914944, 2537914951, 0)",1.68
"(2537914944, 613062362, 0)",1.67
"(2537914946, 2537914939, 0)",1.67
"(2537914947, 2537914936, 0)",1.65
"(2537914947, 2537914942, 0)",1.65
"(2537914947, 2537914959, 0)",1.62
"(2537914951, 2537914944, 0)",1.68
"(2537914951, 479803057, 0)",1.68
"(2537914951, 613062361, 0)",1.66
"(2537914953, 2537914922, 0)",1.62
"(2537914954, 482114163, 0)",1.66
"(612827721, 612827727, 0)",1.74
"(612827721, 2413915238, 0)",1.73
"(612827721, 676692983, 0)",1.75
"(612827721, 2413915216, 0)",1.74
"(534118988, 1034354817, 0)",1.68
"(534118988, 2875312441, 0)",1.69
"(534118988, 534118990, 0)",1.67
"(534118988, 317891883, 0)",1.69
"(2537914957, 2537914964, 0)",1.59
"(534118990, 534118988, 0)",1.67
"(364970574, 641351945, 0)",1.64
"(364970574, 504371393, 0)",1.64
"(364970574, 344203050, 0)",1.64
"(2537914959, 2537914947, 0)",1.62
"(2537914959, 1412998631, 0)",1.66
"(2537914959, 2742150158, 0)",1.59
"(612827727, 612827705, 0)",1.76
"(612827727, 612827721, 0)",1.74
"(612827727, 1513594750, 0)",1.74
"(612827723, 1513594750, 0)",1.74
"(612827723, 1513563528, 0)",1.74
"(612827723, 612827731, 0)",1.62
"(612827731, 612827723, 0)",1.62
"(612827731, 612827738, 0)",1.74
"(612827731, 1580874861, 0)",1.74
"(612827731, 1324879839, 0)",1.74
"(2537914964, 2537914957, 0)",1.59
"(2537914964, 2537914968, 0)",1.67
"(2537914964, 479803057, 0)",1.67
"(2537914968, 2537914964, 0)",1.67
"(612827736, 612827742, 0)",1.73
"(612827736, 2413915238, 0)",1.73
"(612827736, 612827750, 0)",1.73
"(2537914970, 1306593938, 0)",1.69
"(2537914970, 2868242557, 0)",1.67
"(2537914970, 480769438, 0)",1.67
"(2537914971, 2868242557, 0)",1.6
"(2537914971, 1413001741, 0)",1.69
"(2537914971, 353713781, 0)",1.69
"(612827738, 612827731, 0)",1.74
"(612827738, 612827745, 0)",1.73
"(612827738, 612827742, 0)",1.62
"(612827742, 612827736, 0)",1.73
"(612827742, 612827738, 0)",1.62
"(612827742, 1324879870, 0)",1.73
"(612827742, 1324879839, 0)",1.74
"(34177631, 34177045, 0)",1.68
"(34177631, 480227099, 0)",1.67
"(34177631, 462516665, 0)",1.68
"(612827745, 612827738, 0)",1.73
"(612827745, 1461004372, 0)",1.73
"(612827745, 1324879870, 0)",1.73
"(612827745, 1988932482, 0)",1.73
"(612827750, 612827736, 0)",1.73
"(612827750, 1324879894, 0)",1.74
"(612827750, 612827760, 0)",1.74
"(612827750, 2413915254, 0)",1.73
"(34177639, 478498196, 0)",1.67
"(34177639, 2434430323, 0)",1.67
"(34177639, 482735796, 0)",1.68
"(34177639, 462516678, 0)",1.68
"(612827759, 1513594882, 0)",1.73
"(612827759, 2198617934, 0)",1.72
"(612827759, 1324879894, 0)",1.74
"(612827759, 612827761, 0)",1.74
"(612827760, 612827750, 0)",1.74
"(612827760, 370687792, 0)",1.74
"(612827760, 612807820, 0)",1.74
"(612827761, 612827759, 0)",1.74
"(612827761, 370687792, 0)",1.74
"(612827761, 612807822, 0)",1.74
"(337347191, 35651803, 0)",1.8
"(337347191, 3385642705, 0)",1.8
"(337347191, 3385642704, 0)",1.8
"(35652218, 392270083, 0)",1.76
"(35652218, 4398369691, 0)",1.76
"(35652218, 4398369695, 0)",1.75
"(35652218, 585331289, 0)",1.76
"(1376715403, 3676784126, 0)",1.61
"(1376715403, 731117406, 0)",1.6
"(1376715403, 3676784129, 0)",1.62
"(1376715415, 3392485731, 0)",1.62
"(1376715415, 1875975708, 0)",1.62
"(1376715415, 491864056, 0)",1.61
"(1376715415, 491864053, 0)",1.63
"(471794331, 471794332, 0)",1.64
"(471794332, 471794331, 0)",1.64
"(471794332, 471574813, 0)",1.64
"(471794332, 364926759, 0)",1.64
"(471794334, 580670415, 0)",1.87
"(2436694692, 462027529, 0)",1.68
"(2436694695, 462027530, 0)",1.68
"(2436694695, 462027529, 0)",1.68
"(2436694695, 504482941, 0)",1.68
"(764707502, 1975659685, 0)",1.73
"(764707502, 3632923894, 0)",1.72
"(764707502, 5469336455, 0)",1.71
"(255034035, 352938545, 0)",1.65
"(2436694714, 34729087, 0)",1.81
"(2436694714, 364533174, 0)",1.87
"(2436694714, 2437881272, 0)",1.76
"(2436694714, 353709411, 0)",1.81
"(34177734, 266023909, 0)",1.73
"(34177734, 366839923, 0)",1.73
"(34177734, 316423906, 0)",1.73
"(34177734, 932580169, 0)",1.72
"(365298380, 364800555, 0)",1.66
"(365298380, 365298382, 0)",1.66
"(365298380, 954573931, 0)",1.66
"(365298380, 404265483, 0)",1.66
"(365298381, 365303535, 0)",1.66
"(365298381, 364800525, 0)",1.66
"(365298381, 365298382, 0)",1.66
"(365298381, 631811711, 0)",1.67
"(365298382, 365298380, 0)",1.66
"(365298382, 365298381, 0)",1.66
"(365298382, 60706262, 0)",1.66
"(365298382, 631811710, 0)",1.67
"(482771680, 25543249, 0)",1.66
"(482771680, 659583272, 0)",1.66
"(482771680, 482771682, 0)",1.66
"(482771680, 659583273, 0)",1.65
"(365298401, 365298403, 0)",1.65
"(33981153, 309349639, 0)",1.6
"(33981153, 310626460, 0)",1.71
"(33981153, 176146383, 0)",1.73
"(33981153, 310695406, 0)",1.74
"(365298403, 365298401, 0)",1.65
"(365298403, 365299403, 0)",1.65
"(365298403, 365298405, 0)",1.65
"(33981156, 493161194, 0)",1.61
"(33981156, 5017695841, 0)",1.71
"(33981156, 493161195, 0)",1.71
"(33981156, 310626485, 0)",1.59
"(365298405, 365298403, 0)",1.65
"(365298405, 365299405, 0)",1.65
"(593396454, 593396459, 0)",1.7
"(33981157, 496804079, 0)",1.59
"(33981157, 6464683340, 0)",1.78
"(33981157, 34177798, 0)",1.81
"(33981157, 664173396, 0)",1.76
"(482771688, 2421256360, 0)",1.62
"(482771688, 659583272, 0)",1.64
"(482771688, 370250697, 0)",1.62
"(33981161, 290598447, 0)",1.9
"(33981161, 664390861, 0)",1.9
"(33981161, 176150535, 0)",1.8
"(33981162, 290598373, 0)",1.65
"(33981162, 297283588, 0)",1.76
"(33981162, 352749781, 0)",1.72
"(593396459, 593396454, 0)",1.7
"(593396459, 478777489, 0)",1.71
"(593396459, 34772806, 0)",1.71
"(33981163, 287425042, 0)",1.72
"(33981163, 352749776, 0)",1.73
"(33981163, 352749781, 0)",1.78
"(33981165, 352749766, 0)",1.73
"(33981165, 290598366, 0)",1.68
"(33981165, 352749776, 0)",1.81
"(33981165, 33981168, 0)",1.83
"(482771694, 482771696, 0)",1.62
"(482771694, 468298210, 0)",1.63
"(482771694, 6416854378, 0)",1.57
"(710738671, 1319430524, 0)",1.71
"(710738671, 710738679, 0)",1.71
"(710738671, 287425066, 0)",1.72
"(33981168, 33981165, 0)",1.83
"(33981168, 287425022, 0)",1.83
"(33981168, 287425052, 0)",1.85
"(34177777, 482735786, 0)",1.69
"(34177777, 482735782, 0)",1.69
"(34177777, 34177784, 0)",1.71
"(34177777, 470921618, 0)",1.69
"(482771696, 482771694, 0)",1.62
"(482771696, 708493704, 0)",1.62
"(482771696, 1287788063, 0)",1.62
"(2180350701, 34164600, 0)",1.6
"(2180350701, 287428348, 0)",1.61
"(2180350701, 2432481628, 0)",1.61
"(710738679, 710738671, 0)",1.71
"(710738679, 1319430524, 0)",1.71
"(710738679, 932560421, 0)",1.66
"(34177784, 34177777, 0)",1.71
"(34177784, 482735781, 0)",1.71
"(34177784, 664445092, 0)",1.71
"(34177785, 482735783, 0)",1.61
"(34177785, 366828629, 0)",1.61
"(34177785, 664445092, 0)",1.72
"(34177785, 366830824, 0)",1.74
"(730792700, 3646557084, 0)",1.63
"(730792700, 730792703, 0)",1.63
"(730792700, 2815390946, 0)",1.62
"(730792700, 2496453727, 0)",1.62
"(730792703, 730792700, 0)",1.63
"(730792703, 1011769062, 0)",1.62
"(730792703, 1011769380, 0)",1.63
"(34177796, 482782746, 0)",1.7
"(34177796, 496802387, 0)",1.69
"(34177796, 2434430318, 0)",1.69
"(34177797, 482782745, 0)",1.68
"(34177797, 504482872, 0)",1.59
"(34177797, 664438482, 0)",1.66
"(34177798, 33981157, 0)",1.81
"(34177798, 310626458, 0)",1.79
"(34177798, 1011769228, 0)",1.73
"(34177798, 478498181, 0)",1.65
"(95650594, 593526474, 0)",1.63
"(95650594, 1433275300, 0)",1.63
"(95650594, 670397098, 0)",1.57
"(412615506, 412632522, 0)",1.62
"(456819554, 932648714, 0)",1.71
"(456819554, 1111342103, 0)",1.71
"(456819554, 1319430522, 0)",1.7
"(392299372, 266719763, 0)",1.74
"(670401408, 670370007, 0)",1.62
"(670401408, 288642462, 0)",1.6
"(670401408, 670401410, 0)",1.62
"(670401410, 95650264, 0)",1.6
