uvkey,aqi
"(2742616309, 2496453848, 0)",1.815
"(1305608448, 664447689, 0)",1.841
"(1305608448, 772597129, 0)",1.854
"(1305608448, 34178006, 0)",1.828
"(691470593, 35651803, 0)",1.918
"(691470593, 701814944, 0)",1.867
"(691470593, 691470609, 0)",1.983
"(265584899, 290594383, 0)",1.88
"(265584899, 265583173, 0)",1.918
"(265584899, 392964192, 0)",1.854
"(1011876109, 1937261456, 0)",1.893
"(1011876109, 265425084, 0)",1.931
"(1011876109, 366204965, 0)",1.893
"(691470609, 691470593, 0)",1.983
"(691470609, 367883066, 0)",2.048
"(691470609, 290594649, 0)",2.048
"(504725779, 34158558, 0)",1.815
"(504725779, 34158487, 0)",1.815
"(504725779, 5543072103, 0)",1.815
"(1011876140, 34398758, 0)",1.841
"(1011876140, 418402699, 0)",1.841
"(1011876140, 559977448, 0)",1.841
"(2892890412, 259760704, 0)",1.931
"(2892890412, 259760703, 0)",1.931
"(2892890412, 773493312, 0)",1.931
"(2892890412, 1007189784, 0)",1.931
"(2892890416, 6339299774, 0)",2.009
"(2892890416, 259760421, 0)",1.957
"(2892890416, 1007189784, 0)",2.035
"(2892890419, 259760420, 0)",1.97
"(2892890419, 34712142, 0)",1.983
"(2892890419, 6339299774, 0)",2.009
"(2892890419, 773493311, 0)",1.996
"(504725819, 34123027, 0)",1.815
"(504725819, 34158411, 0)",1.815
"(504725819, 505006917, 0)",1.802
"(504725819, 731211755, 0)",1.815
"(1011876157, 488362044, 0)",1.828
"(1011876157, 564125295, 0)",1.828
"(1011876157, 366206704, 0)",1.828
"(35651902, 745493012, 0)",1.931
"(35651902, 176207079, 0)",1.983
"(35651902, 265585986, 0)",1.957
"(504725821, 34158411, 0)",1.815
"(504725821, 435803830, 0)",1.815
"(504725821, 34158935, 0)",1.815
"(664142144, 664142145, 0)",1.88
"(664142144, 664142146, 0)",1.88
"(664142144, 664142148, 0)",1.88
"(664142144, 597745104, 0)",1.88
"(664142145, 664142144, 0)",1.88
"(664142145, 664142147, 0)",1.88
"(664142145, 34127391, 0)",1.88
"(664142146, 664142144, 0)",1.88
"(664142147, 664142145, 0)",1.88
"(664142147, 664142148, 0)",1.893
"(664142147, 34127509, 0)",1.867
"(664142148, 664142144, 0)",1.88
"(664142148, 664142147, 0)",1.893
"(664142148, 585123228, 0)",1.893
"(664142148, 664142156, 0)",1.867
"(283836741, 691515961, 0)",1.97
"(283836741, 283836742, 0)",1.931
"(283836741, 6055151952, 0)",1.918
"(283836742, 283836741, 0)",1.931
"(283836742, 283836743, 0)",1.88
"(283836742, 1324960395, 0)",1.931
"(283836742, 1324918339, 0)",1.97
"(283836743, 283836742, 0)",1.88
"(283836743, 283694158, 0)",1.88
"(283836743, 2415129076, 0)",1.923
"(664142156, 664142148, 0)",1.867
"(664142156, 34127509, 0)",1.854
"(664142156, 775501545, 0)",1.828
"(730792270, 730792273, 0)",1.893
"(730792270, 34123289, 0)",1.828
"(730792270, 478501340, 0)",1.893
"(730792271, 34122086, 0)",1.854
"(730792271, 34164025, 0)",1.854
"(730792271, 730792272, 0)",1.854
"(730792271, 478501341, 0)",1.854
"(467698000, 429742687, 0)",1.97
"(467698000, 467698001, 0)",1.931
"(467698000, 364533184, 0)",1.931
"(467698001, 467698000, 0)",1.931
"(467698001, 366828605, 0)",1.931
