id_ig,aqi
0,1.85
1,1.86
2,1.85
3,1.87
4,1.89
5,1.97
6,2.0
7,1.9
8,1.96
9,1.0
10,1.88
11,1.88
12,1.89
13,1.87
14,1.95
15,1.88
16,1.86
17,1.89
18,1.89
19,1.86
20,1.89
21,1.87
22,1.89
23,1.87
24,1.88
25,1.86
26,1.86
27,1.86
28,1.86
29,1.86
30,1.86
31,1.86
32,1.86
33,1.9
34,1.9
35,1.88
36,1.0
37,1.9
38,1.89
39,1.94
40,1.88
41,1.87
42,1.87
43,1.87
44,1.0
45,1.0
46,1.9
47,1.88
48,1.89
49,1.88
50,1.89
51,1.0
52,1.88
53,1.0
54,1.88
55,1.89
56,1.87
57,1.87
58,1.87
59,1.89
60,1.86
61,1.87
62,1.89
63,1.95
64,1.0
65,1.89
66,1.97
67,1.0
68,1.88
69,1.0
70,1.85
71,1.85
72,1.85
73,1.85
74,1.85
75,1.88
76,1.88
77,1.98
78,1.88
79,1.88
80,1.85
81,1.88
82,1.85
83,1.85
84,1.85
85,1.85
86,1.85
87,1.85
88,1.85
89,1.85
90,1.85
91,1.88
92,1.91
93,1.85
94,1.86
95,1.86
96,1.96
97,1.96
98,1.85
99,1.9
100,1.9
101,1.86
102,1.88
103,1.9
104,1.97
105,1.85
106,1.85
107,1.85
108,1.85
109,1.85
110,1.85
111,1.89
112,1.96
113,1.86
114,1.85
115,1.96
116,1.96
117,1.85
118,1.91
119,1.88
120,1.87
121,1.87
122,1.9
123,1.9
124,1.9
125,1.88
126,1.89
127,1.89
128,1.85
129,1.85
130,1.85
131,1.9
132,1.88
133,1.88
134,1.89
135,1.9
136,1.89
137,1.89
138,1.89
139,1.89
140,1.9
141,1.9
142,1.89
143,1.89
144,1.91
145,1.91
146,1.89
147,1.94
148,1.89
149,1.88
150,1.93
151,1.9
152,1.88
153,1.9
154,1.89
155,1.95
156,1.94
157,1.87
158,1.95
159,1.87
160,1.95
161,1.95
162,1.93
163,1.0
164,1.89
165,1.88
166,1.85
167,1.99
168,1.87
169,1.88
170,1.87
171,1.87
172,1.92
173,1.87
174,2.08
175,2.05
176,1.88
177,1.87
178,1.87
179,1.87
180,1.89
181,1.88
182,1.86
183,1.86
184,1.91
185,1.88
186,1.89
187,1.0
188,1.99
189,1.85
190,1.89
191,1.0
192,1.0
193,1.91
194,1.94
195,1.0
196,1.94
197,1.94
198,1.95
199,1.0
200,1.95
201,1.89
202,1.91
203,1.91
204,1.9
205,1.9
206,1.9
207,1.9
208,1.91
209,1.88
210,1.88
211,1.9
212,1.9
213,1.9
214,1.91
215,1.9
216,1.91
217,1.9
218,1.9
219,1.93
220,1.93
221,1.88
222,1.88
223,1.89
224,1.89
225,1.9
226,1.95
227,1.93
228,1.9
229,1.9
230,1.88
231,1.94
232,1.89
233,1.89
234,1.88
235,1.87
236,1.88
237,1.86
238,1.88
239,1.88
240,1.95
241,1.86
242,1.98
243,1.86
244,1.88
245,1.88
246,1.87
247,1.94
248,1.88
249,1.89
250,1.88
251,1.9
252,1.87
253,2.02
254,1.87
255,1.87
256,1.89
257,1.0
258,1.84
259,1.88
260,1.93
261,2.01
262,1.9
263,1.85
264,1.87
265,1.9
266,1.87
267,1.96
268,1.97
269,1.86
270,2.05
271,1.84
272,1.89
273,1.85
274,1.85
275,1.92
276,1.9
277,1.97
278,1.89
279,1.86
280,1.87
281,1.87
282,1.0
283,1.0
284,1.89
285,1.89
286,1.89
287,1.89
288,1.93
289,1.95
290,2.08
291,1.87
292,1.89
293,1.89
294,1.86
295,1.88
296,1.89
297,1.86
298,1.89
299,1.87
300,1.87
301,1.9
302,1.9
303,1.87
304,1.9
305,1.9
306,1.91
307,1.91
308,1.91
309,1.91
310,1.91
311,1.91
312,1.92
313,1.89
314,1.92
315,1.93
316,1.93
317,1.85
318,1.85
319,1.89
320,1.9
321,1.9
322,1.85
323,1.85
324,1.0
325,1.0
326,1.0
327,1.0
328,1.86
329,1.86
330,1.92
331,1.86
332,1.87
333,1.86
334,1.88
335,1.87
336,1.86
337,1.0
338,1.85
339,1.85
340,2.0
341,1.86
342,1.87
343,1.86
344,1.85
345,1.88
346,1.88
347,1.87
348,1.87
349,1.88
350,1.88
351,1.96
352,2.09
353,2.09
354,1.87
355,1.87
356,1.87
357,1.87
358,1.89
359,1.87
360,1.87
361,1.87
362,1.87
363,1.87
364,1.87
365,1.88
366,1.99
367,1.9
368,1.87
369,1.95
370,1.89
371,1.89
372,1.99
373,1.86
374,1.85
375,1.85
376,1.85
377,1.85
378,1.86
379,1.95
380,1.87
381,1.88
382,1.0
383,1.88
384,1.88
385,1.88
386,1.87
387,1.87
388,1.89
389,1.9
390,1.9
391,1.9
392,1.9
393,1.0
394,1.9
395,1.0
396,1.9
397,1.89
398,1.89
399,1.89
400,1.89
401,1.89
402,1.89
403,1.89
404,1.89
405,1.89
406,1.89
407,1.89
408,1.9
409,1.9
410,1.89
411,1.89
412,1.0
413,1.0
414,1.0
415,2.02
416,1.86
417,1.86
418,1.86
419,1.86
420,1.86
421,1.0
422,1.0
423,1.95
424,1.95
425,1.98
426,1.98
427,1.88
428,1.87
429,1.88
430,1.88
431,1.94
432,1.85
433,1.9
434,1.89
435,1.95
436,1.85
437,1.85
438,1.91
439,1.91
440,1.91
441,1.85
442,1.85
443,1.9
444,1.92
445,1.92
446,1.91
447,1.88
448,1.91
449,1.87
450,1.9
451,1.93
452,1.87
453,1.9
454,1.9
455,1.97
456,1.9
457,1.91
458,1.91
459,1.88
460,1.96
461,1.98
462,1.98
463,1.93
464,1.89
465,1.89
466,1.87
467,1.85
468,1.9
469,1.86
470,1.86
471,1.86
472,1.93
473,1.89
474,1.9
475,1.92
476,1.87
