;id_otp;name_otp;node_orig_id;node_dest_id;length;edge_class;street_class;is_stairs;is_no_thru_traffic;permission;allows_walking;allows_biking;traversable_walking;traversable_biking;bike_safety_factor;geometry
1134292;1745979;P+R (exit);519152;428017;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1134297;1745977;P+R (exit);519152;428018;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1134311;1748214;;520163;397173;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1134343;1127633;path;451228;436997;9.556000000000001;StreetEdge;5.0;False;True;PEDESTRIAN;True;False;True;False;1.9666665;LINESTRING (24.9570619 60.2102829, 24.9571341 60.21036100000001)
1134366;1748210;;520161;397179;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1134476;1189222;Pohjolankatu;463636;52564;11.248;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;1.6333333;LINESTRING (24.9600788 60.21882350000001, 24.9599029 60.21877250000001)
1134540;1748224;;520167;397182;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1134572;1748220;;520165;397174;0.0;FreeEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1134670;1025202;service road;390368;226816;5.8020000000000005;StreetEdge;5.0;False;False;ALL;True;True;True;True;1.8333332999999998;LINESTRING (24.9656207 60.21484880000001, 24.9657119 60.2148747)
1134702;94316;bike path;57584;57583;8.958;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9659089 60.2037977, 24.965999 60.203779, 24.9660583 60.20376640000001)
1134703;652879;Hermannin rantatie;319724;319723;14.686;StreetEdge;3.0;False;False;PEDESTRIAN;True;False;True;False;3.4333332000000003;LINESTRING (24.9676719 60.1992644, 24.967634 60.199286, 24.967496 60.1993634)
1134707;94315;bike path;57583;57584;8.958;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9660583 60.20376640000001, 24.965999 60.203779, 24.9659089 60.2037977)
1134708;652878;Hermannin rantatie;319723;319724;14.686;StreetEdge;3.0;False;False;ALL;True;True;True;True;3.4333332000000003;LINESTRING (24.967496 60.1993634, 24.967634 60.199286, 24.9676719 60.1992644)
1134712;94318;bike path;57585;57584;5.196000000000001;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9658222 60.2038158, 24.96584 60.203812, 24.9659089 60.2037977)
1134725;94317;bike path;57584;57585;5.196000000000001;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9659089 60.2037977, 24.96584 60.203812, 24.9658222 60.2038158)
1134733;94320;bike path;57586;57585;12.494000000000002;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9656138 60.20385940000001, 24.965732 60.203835, 24.96578 60.203825, 24.965801 60.20382, 24.9658222 60.2038158)
1134743;94319;bike path;57585;57586;12.494000000000002;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9658222 60.2038158, 24.965801 60.20382, 24.96578 60.203825, 24.965732 60.203835, 24.9656138 60.20385940000001)
1134750;94322;bike path;57587;57586;9.474;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9654558 60.2038925, 24.965509 60.203881, 24.9656138 60.20385940000001)
1134765;94321;bike path;57586;57587;9.474;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9656138 60.20385940000001, 24.965509 60.203881, 24.9654558 60.2038925)
1134774;94324;bike path;57588;57587;2.1069999999999998;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9654206 60.2038998, 24.9654558 60.2038925)
1134784;94323;bike path;57587;57588;2.1069999999999998;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.0;LINESTRING (24.9654558 60.2038925, 24.9654206 60.2038998)
1134830;1745800;P+R (exit);518954;435237;0.0;ParkAndRideLinkEdge;;False;False;;True;True;True;True;;GEOMETRYCOLLECTION EMPTY
1134902;860596;Vallinkoskentie;385832;368161;31.136999999999997;StreetEdge;5.0;False;False;PEDESTRIAN_AND_BICYCLE;True;True;True;True;1.18;LINESTRING (24.9594567 60.2099589, 24.9589673 60.21009780000001)
1134905;884532;path;392483;161969;25.432;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9655627 60.1968949, 24.965535 60.197026, 24.9655272 60.1971228)
1134920;884529;path;392482;161969;59.52;StreetEdge;5.0;False;False;PEDESTRIAN;True;False;True;False;1.6666666;LINESTRING (24.9654196 60.1976554, 24.9655272 60.1971228)
1134971;340399;Koskelantie;121028;188452;12.203;StreetEdge;3.0;False;False;PEDESTRIAN_AND_CAR;True;False;True;False;2.5;LINESTRING (24.9584852 60.21353060000001, 24.9582952 60.2134746)
