;id_otp;name_otp;vertex_class;traversable_walking;traversable_biking;label;traffic_light;free_flowing;x;y;geometry
364711;47398;osm:node:34177639;OsmVertex;True;True;osm:node:34177639;False;False;24.975363;60.21076280000001;POINT (24.975363 60.210762800000005)
364715;90463;osm:node:34177631;OsmVertex;True;True;osm:node:34177631;False;False;24.9737785;60.2120753;POINT (24.9737785 60.2120753)
364799;96010;osm:node:773656542;OsmVertex;True;True;osm:node:773656542;False;False;24.954934700000006;60.20514300000001;POINT (24.954934700000003 60.20514300000001)
364802;253804;osm:node:773656541;OsmVertex;True;True;osm:node:773656541;False;False;24.9554195;60.2048725;POINT (24.9554195 60.2048725)
364820;367801;osm:node:34163084;OsmVertex;True;True;osm:node:34163084;False;False;24.980614499999998;60.198616;POINT (24.9806145 60.198616)
364822;367890;osm:node:34163085;OsmVertex;True;True;osm:node:34163085;False;False;24.9802751;60.1989735;POINT (24.9802751 60.1989735)
364825;367887;osm:node:34163080;OsmVertex;True;True;osm:node:34163080;False;False;24.9828966;60.197686499999996;POINT (24.9828966 60.1976865)
364846;264525;osm:node:745732834;OsmVertex;True;True;osm:node:745732834;False;False;24.968626999999998;60.2167462;POINT (24.968627 60.2167462)
364853;264512;osm:node:745732832;OsmVertex;True;True;osm:node:745732832;False;False;24.968976400000006;60.21678470000001;POINT (24.968976400000003 60.216784700000005)
364912;213024;osm:node:3666111155:level:-1;OsmVertex;True;True;osm:node:3666111155:level:-1;False;False;24.8467635;60.3144472;POINT (24.8467635 60.314447200000004)
