edge_id;length;gvi;aqi;noises;mdB
104;1.665;0.11;1.97;{70: 1.66495};72.5
105;10.7579;0.39;1.85;{45: 10.75793};47.5
106;10.7579;0.39;1.85;{45: 10.75793};47.5
107;36.0127;0.85;1.85;{45: 36.01274};47.5
108;36.0127;0.85;1.85;{45: 36.01274};47.5
109;29.1061;0.87;1.85;{45: 29.1061};47.5
110;29.1061;0.87;1.85;{45: 29.1061};47.5
111;26.9333;0.29;1.89;{65: 26.93332};67.5
112;22.5826;0.28;1.96;{70: 22.58255};72.5
113;4.1203;0.35;1.86;{50: 4.12033};52.5
114;8.2176;0.75;1.85;{45: 8.21763};47.5
115;6.9895;0.37;1.96;{70: 6.98945};72.5
116;3.0261;0.36;1.96;{70: 3.02611};72.5
117;8.2176;0.75;1.85;{45: 8.21763};47.5
118;11.0823;0.2;1.91;{65: 11.08235};67.5
119;25.3009;0.27;1.88;{55: 25.30091};57.5
120;42.4067;0.32;1.87;{55: 39.37766, 50: 3.02905};57.1
121;46.6101;0.33;1.87;{50: 34.95754, 55: 11.65251};53.7
122;54.6895;0.3;1.9;{50: 27.34475, 55: 27.34475};55.0
123;12.481;0.24;1.9;{70: 12.48101};72.5
124;5.8028;0.33;1.9;{55: 5.80279};57.5
125;47.9644;0.27;1.88;{55: 47.96436};57.5
126;13.0534;0.33;1.89;{55: 13.05339};57.5
127;13.4935;0.33;1.89;{55: 13.4935};57.5
128;35.5815;0.44;1.85;{45: 29.65126, 50: 5.93025};48.3
129;5.5423;0.39;1.85;{45: 5.54226};47.5
130;10.4012;0.39;1.85;{45: 10.40116};47.5
131;16.7801;0.2;1.9;{60: 8.39007, 65: 8.39007};65.0
132;7.9038;0.27;1.88;{50: 7.90382};52.5
133;5.3357;0.27;1.88;{50: 5.33569};52.5
134;11.2162;0.23;1.89;{65: 11.21622};67.5
135;6.7898;0.24;1.9;{70: 6.78978};72.5
136;80.2535;0.33;1.89;{55: 62.41939, 50: 17.83411};56.4
137;80.2535;0.33;1.89;{55: 62.41939, 50: 17.83411};56.4
138;4.4571;0.3;1.89;{55: 4.45712};57.5
139;4.4571;0.3;1.89;{55: 4.45712};57.5
140;5.5731;0.35;1.9;{55: 5.57306};57.5
141;5.5731;0.35;1.9;{55: 5.57306};57.5
142;15.2298;0.22;1.89;{65: 9.13789, 60: 6.09193};65.5
143;5.0625;0.33;1.89;{55: 5.06247};57.5
144;0.5883;0.21;1.91;{65: 0.58832};67.5
145;1.4639;0.21;1.91;{65: 1.46386};67.5
146;26.3484;0.27;1.89;{60: 14.638, 65: 11.7104};64.7
147;14.1833;0.21;1.94;{70: 14.18331};72.5
148;5.0625;0.33;1.89;{55: 5.06247};57.5
149;24.7208;0.36;1.88;{55: 24.72078};57.5
150;49.6298;0.21;1.93;{65: 26.27462, 70: 23.35522};69.9
151;6.8921;0.21;1.9;{65: 6.89215};67.5
152;24.7208;0.36;1.88;{55: 24.72078};57.5
153;10.1252;0.21;1.9;{65: 10.1252};67.5
154;18.2258;0.21;1.89;{65: 18.22581};67.5
155;8.8257;0.22;1.95;{70: 8.82572};72.5
156;14.1833;0.21;1.94;{70: 14.18331};72.5
